code,name,state,primary_language,population,literacy_pct,internet_pct,deprivation_index,latitude,longitude
KA_TUMAKURU,Tumakuru,Karnataka,kn,2675973,75.1,41.0,0.43,13.34,77.1
KA_UDUPI,Udupi,Karnataka,kn,1177361,86.2,58.7,0.24,13.34,74.74
KA_HASSAN,Hassan,Karnataka,kn,1776421,76.1,42.3,0.42,13.0,76.1
KA_DAVANAGERE,Davanagere,Karnataka,kn,1643494,75.7,43.1,0.41,14.46,75.92
KA_MANDYA,Mandya,Karnataka,kn,1805769,70.4,37.9,0.49,12.52,76.9
KA_VIJAYAPURA,Vijayapura,Karnataka,kn,2177331,67.1,33.5,0.55,16.83,75.71
KA_BAGALKOT,Bagalkot,Karnataka,kn,1889552,68.8,34.2,0.53,16.18,75.66
KA_BIDAR,Bidar,Karnataka,kn,1703300,70.5,34.8,0.51,17.91,77.52
KA_RAICHUR,Raichur,Karnataka,kn,1928812,59.6,24.1,0.72,16.21,77.36
KA_KOPPAL,Koppal,Karnataka,kn,1389920,67.3,26.9,0.62,15.35,76.15
KA_YADGIR,Yadgir,Karnataka,kn,1174271,51.8,20.2,0.8,16.77,77.14
KA_UTTARA_KANNADA,Uttara Kannada,Karnataka,kn,1437169,84.1,51.2,0.3,14.8,74.13
KA_CHITRADURGA,Chitradurga,Karnataka,kn,1659456,73.7,36.8,0.48,14.22,76.4
KA_KOLAR,Kolar,Karnataka,kn,1536401,74.3,44.5,0.44,13.14,78.13
KA_RAMANAGARA,Ramanagara,Karnataka,kn,1082636,69.2,45.1,0.47,12.72,77.28
KA_CHIKKAMAGALURU,Chikkamagaluru,Karnataka,kn,1137961,79.2,46.2,0.36,13.32,75.77
KA_KODAGU,Kodagu,Karnataka,kn,554519,82.6,52.4,0.29,12.42,75.74
KL_ERNAKULAM,Ernakulam,Kerala,ml,3282388,95.9,64.3,0.15,9.98,76.28
KL_THIRUVANANTHAPURAM,Thiruvananthapuram,Kerala,ml,3301427,93.0,62.1,0.18,8.52,76.94
KL_KOZHIKODE,Kozhikode,Kerala,ml,3086293,95.1,59.8,0.19,11.25,75.78
KL_THRISSUR,Thrissur,Kerala,ml,3121200,95.1,58.4,0.2,10.53,76.21
KL_KOLLAM,Kollam,Kerala,ml,2635375,94.1,54.2,0.23,8.89,76.6
KL_KANNUR,Kannur,Kerala,ml,2523003,95.1,56.7,0.21,11.87,75.37
KL_ALAPPUZHA,Alappuzha,Kerala,ml,2127789,95.7,53.5,0.24,9.49,76.33
KL_KOTTAYAM,Kottayam,Kerala,ml,1974551,97.2,60.5,0.16,9.59,76.52
KL_MALAPPURAM,Malappuram,Kerala,ml,4112920,93.6,51.8,0.26,11.07,76.07
KL_PALAKKAD,Palakkad,Kerala,ml,2809934,88.5,50.7,0.33,10.78,76.65
KL_WAYANAD,Wayanad,Kerala,ml,817420,89.0,54.1,0.3,11.69,76.14
KL_KASARAGOD,Kasaragod,Kerala,ml,1307375,90.1,52.3,0.29,12.5,75.0
KL_PATHANAMTHITTA,Pathanamthitta,Kerala,ml,1197412,96.5,58.9,0.17,9.27,76.78
KL_IDUKKI,Idukki,Kerala,ml,1108974,91.9,48.6,0.31,9.85,76.97
MH_MUMBAI_CITY,Mumbai City,Maharashtra,mr,3085411,89.2,68.6,0.18,18.95,72.83
MH_MUMBAI_SUB,Mumbai Suburban,Maharashtra,mr,9356962,89.9,69.5,0.16,19.14,72.9
MH_PUNE,Pune,Maharashtra,mr,9429408,86.2,62.7,0.19,18.52,73.86
MH_THANE,Thane,Maharashtra,mr,11060148,84.5,59.8,0.22,19.22,73.17
MH_NAGPUR,Nagpur,Maharashtra,mr,4653570,88.4,49.1,0.27,21.15,79.09
MH_NASHIK,Nashik,Maharashtra,mr,6107187,82.9,42.6,0.35,20.0,73.79
MH_RAIGAD,Raigad,Maharashtra,mr,2634200,83.1,52.4,0.28,18.51,73.18
MH_AURANGABAD,Chhatrapati Sambhajinagar,Maharashtra,mr,3701282,79.0,41.5,0.38,19.88,75.34
MH_SOLAPUR,Solapur,Maharashtra,mr,4317756,77.0,37.8,0.42,17.66,75.91
MH_KOLHAPUR,Kolhapur,Maharashtra,mr,3876001,81.5,44.9,0.34,16.7,74.24
MH_AMRAVATI,Amravati,Maharashtra,mr,2888445,87.4,40.2,0.33,20.93,77.75
MH_NANDED,Nanded,Maharashtra,mr,3361292,75.5,31.8,0.49,19.15,77.3
MH_SANGLI,Sangli,Maharashtra,mr,2822143,81.5,43.2,0.35,16.85,74.58
MH_JALGAON,Jalgaon,Maharashtra,mr,4229917,78.2,36.4,0.43,21.0,75.56
MH_AKOLA,Akola,Maharashtra,mr,1813906,88.0,39.5,0.32,20.7,77.01
MH_LATUR,Latur,Maharashtra,mr,2455543,78.0,35.1,0.44,18.4,76.58
MH_DHULE,Dhule,Maharashtra,mr,2050862,72.8,33.2,0.5,20.9,74.77
MH_AHMEDNAGAR,Ahilyanagar,Maharashtra,mr,4543159,79.1,38.6,0.41,19.1,74.73
MH_CHANDRAPUR,Chandrapur,Maharashtra,mr,2204307,80.0,36.2,0.42,19.95,79.3
MH_NANDURBAR,Nandurbar,Maharashtra,mr,1648295,64.4,24.7,0.7,21.37,74.24
MH_GADCHIROLI,Gadchiroli,Maharashtra,mr,1072942,74.4,21.3,0.66,20.18,80.0
MH_OSMANABAD,Dharashiv,Maharashtra,mr,1657576,78.4,34.8,0.49,18.19,76.04
MH_PALGHAR,Palghar,Maharashtra,mr,2990116,66.7,42.0,0.48,19.7,72.76
MH_SATARA,Satara,Maharashtra,mr,3003741,82.9,44.1,0.33,17.69,74.0
DL_NEW_DELHI,New Delhi,NCT of Delhi,hi,142004,88.3,74.2,0.13,28.61,77.21
DL_CENTRAL_DELHI,Central Delhi,NCT of Delhi,hi,582320,85.1,69.8,0.2,28.65,77.22
DL_SOUTH_DELHI,South Delhi,NCT of Delhi,hi,2731929,86.6,72.5,0.17,28.52,77.21
DL_NORTH_WEST_DELHI,North West Delhi,NCT of Delhi,hi,3656539,84.4,63.1,0.26,28.72,77.07
DL_EAST_DELHI,East Delhi,NCT of Delhi,hi,1709346,88.8,70.4,0.18,28.63,77.3
DL_WEST_DELHI,West Delhi,NCT of Delhi,hi,2543243,87.0,68.2,0.2,28.66,77.07
AP_VISAKHAPATNAM,Visakhapatnam,Andhra Pradesh,te,4290589,66.9,39.8,0.39,17.69,83.22
AP_NTR,NTR (Vijayawada),Andhra Pradesh,te,2218591,75.8,48.6,0.33,16.51,80.64
AP_GUNTUR,Guntur,Andhra Pradesh,te,2091075,67.4,41.2,0.43,16.31,80.44
AP_TIRUPATI,Tirupati,Andhra Pradesh,te,2196984,72.5,42.1,0.39,13.63,79.42
AP_KURNOOL,Kurnool,Andhra Pradesh,te,2271686,60.0,31.5,0.54,15.83,78.04
AP_SPSR_NELLORE,SPSR Nellore,Andhra Pradesh,te,2469712,69.2,38.4,0.45,14.44,79.99
AP_KAKINADA,Kakinada,Andhra Pradesh,te,2092374,71.4,40.5,0.41,16.99,82.25
AP_EAST_GODAVARI,East Godavari (Rajahmundry),Andhra Pradesh,te,1832334,71.0,39.8,0.42,17.0,81.8
AP_VIZIANAGARAM,Vizianagaram,Andhra Pradesh,te,2344474,58.9,25.8,0.66,18.11,83.41
AP_ANANTAPUR,Anantapur,Andhra Pradesh,te,2241105,63.6,33.2,0.52,14.68,77.6
AP_YSR_KADAPA,YSR Kadapa,Andhra Pradesh,te,2060654,67.3,34.6,0.49,14.47,78.82
TG_HYDERABAD,Hyderabad,Telangana,te,3943323,83.3,68.2,0.18,17.39,78.49
TG_WARANGAL,Warangal,Telangana,te,948281,75.9,44.5,0.38,17.98,79.6
TG_HANUMAKONDA,Hanumakonda,Telangana,te,1081852,76.2,46.8,0.36,18.01,79.57
TG_NIZAMABAD,Nizamabad,Telangana,te,1571022,61.3,31.8,0.56,18.67,78.1
TG_KARIMNAGAR,Karimnagar,Telangana,te,1005711,69.2,38.5,0.46,18.44,79.13
TG_KHAMMAM,Khammam,Telangana,te,1401639,65.9,34.2,0.51,17.25,80.15
TG_ADILABAD,Adilabad,Telangana,te,708972,61.0,23.9,0.68,19.67,78.53
TG_RANGAREDDY,Rangareddy,Telangana,te,2446265,71.9,58.2,0.28,17.2,78.3
TG_MEDCHAL_MALKAJGIRI,Medchal Malkajgiri,Telangana,te,2440073,82.5,64.1,0.21,17.63,78.48
UP_LUCKNOW,Lucknow,Uttar Pradesh,hi,4589838,77.3,57.6,0.26,26.85,80.95
UP_KANPUR_NAGAR,Kanpur Nagar,Uttar Pradesh,hi,4581268,79.6,38.2,0.37,26.45,80.33
UP_VARANASI,Varanasi,Uttar Pradesh,hi,3676841,75.6,42.1,0.39,25.32,82.97
UP_PRAYAGRAJ,Prayagraj,Uttar Pradesh,hi,5954391,72.3,38.5,0.44,25.43,81.84
UP_AGRA,Agra,Uttar Pradesh,hi,4418797,71.6,41.2,0.43,27.18,78.01
UP_MEERUT,Meerut,Uttar Pradesh,hi,3443689,72.8,44.6,0.4,28.98,77.71
UP_GHAZIABAD,Ghaziabad,Uttar Pradesh,hi,4681645,78.1,62.4,0.24,28.67,77.45
UP_GAUTAM_BUDDHA_NAGAR,Gautam Buddha Nagar (Noida),Uttar Pradesh,hi,1648115,80.1,68.7,0.19,28.53,77.39
UP_BAREILLY,Bareilly,Uttar Pradesh,hi,4448359,58.5,29.4,0.61,28.36,79.43
UP_ALIGARH,Aligarh,Uttar Pradesh,hi,3673889,67.5,34.8,0.52,27.89,78.08
UP_MORADABAD,Moradabad,Uttar Pradesh,hi,4772006,56.8,28.5,0.63,28.84,78.78
UP_GORAKHPUR,Gorakhpur,Uttar Pradesh,hi,4440895,70.8,33.2,0.51,26.76,83.37
UP_SAHARANPUR,Saharanpur,Uttar Pradesh,hi,3466382,70.5,35.1,0.5,29.96,77.55
UP_JHANSI,Jhansi,Uttar Pradesh,hi,1998603,75.0,39.4,0.43,25.45,78.57
UP_MATHURA,Mathura,Uttar Pradesh,hi,2547184,70.4,36.8,0.48,27.49,77.67
UP_AYODHYA,Ayodhya,Uttar Pradesh,hi,2470996,68.7,31.4,0.54,26.79,82.2
UP_SHRAVASTI,Shravasti,Uttar Pradesh,hi,1117361,46.7,10.5,0.9,27.51,81.95
UP_BAHRAICH,Bahraich,Uttar Pradesh,hi,3478257,49.4,12.0,0.88,27.57,81.6
GJ_AHMEDABAD,Ahmedabad,Gujarat,gu,7214225,85.3,57.2,0.23,23.02,72.57
GJ_SURAT,Surat,Gujarat,gu,6081322,85.5,60.8,0.21,21.17,72.83
GJ_VADODARA,Vadodara,Gujarat,gu,4165626,78.9,47.5,0.31,22.31,73.18
GJ_RAJKOT,Rajkot,Gujarat,gu,3804558,80.7,48.2,0.3,22.3,70.8
GJ_BHAVNAGAR,Bhavnagar,Gujarat,gu,2880365,75.5,38.6,0.43,21.76,72.15
GJ_JAMNAGAR,Jamnagar,Gujarat,gu,2160119,73.6,39.4,0.45,22.47,70.07
GJ_GANDHINAGAR,Gandhinagar,Gujarat,gu,1391753,84.2,53.5,0.25,23.22,72.65
GJ_DAHOD,Dahod,Gujarat,gu,2127086,58.8,20.6,0.72,22.83,74.25
GJ_KUTCH,Kutch (Bhuj),Gujarat,gu,2092371,70.6,36.8,0.48,23.24,69.67
RJ_JAIPUR,Jaipur,Rajasthan,hi,6626178,75.5,44.8,0.34,26.91,75.79
RJ_JODHPUR,Jodhpur,Rajasthan,hi,3687002,66.0,38.2,0.48,26.24,73.02
RJ_KOTA,Kota,Rajasthan,hi,1951014,76.6,46.5,0.35,25.18,75.83
RJ_BIKANER,Bikaner,Rajasthan,hi,2363937,65.1,34.6,0.52,28.02,73.31
RJ_AJMER,Ajmer,Rajasthan,hi,2583052,69.3,41.0,0.44,26.45,74.64
RJ_UDAIPUR,Udaipur,Rajasthan,hi,3068420,61.8,33.5,0.55,24.58,73.68
RJ_BHILWARA,Bhilwara,Rajasthan,hi,2408523,61.4,30.8,0.57,25.35,74.63
RJ_ALWAR,Alwar,Rajasthan,hi,3674179,70.7,36.2,0.46,27.55,76.63
RJ_BARMER,Barmer,Rajasthan,hi,2603751,56.5,19.7,0.74,25.75,71.39
RJ_JALORE,Jalore,Rajasthan,hi,1828730,54.9,18.3,0.77,25.35,72.62
RJ_BANSWARA,Banswara,Rajasthan,hi,1797485,56.3,17.9,0.75,23.55,74.44
MP_BHOPAL,Bhopal,Madhya Pradesh,hi,2371061,80.4,43.9,0.32,23.26,77.41
MP_INDORE,Indore,Madhya Pradesh,hi,3276697,80.9,45.7,0.3,22.72,75.86
MP_JABALPUR,Jabalpur,Madhya Pradesh,hi,2463289,81.1,41.5,0.33,23.18,79.99
MP_GWALIOR,Gwalior,Madhya Pradesh,hi,2032036,76.7,42.8,0.37,26.22,78.18
MP_UJJAIN,Ujjain,Madhya Pradesh,hi,1986864,72.3,37.2,0.46,23.18,75.78
MP_SAGAR,Sagar,Madhya Pradesh,hi,2378458,76.5,33.4,0.45,23.83,78.74
MP_ALIRAJPUR,Alirajpur,Madhya Pradesh,hi,728999,36.1,8.5,0.92,22.31,74.36
MP_JHABUA,Jhabua,Madhya Pradesh,hi,1025048,43.3,10.2,0.9,22.77,74.59
BR_PATNA,Patna,Bihar,hi,5838465,70.7,31.6,0.44,25.59,85.14
BR_GAYA,Gaya,Bihar,hi,4391418,63.7,24.5,0.58,24.79,85.0
BR_BHAGALPUR,Bhagalpur,Bihar,hi,3037766,63.1,23.8,0.6,25.24,86.98
BR_MUZAFFARPUR,Muzaffarpur,Bihar,hi,4801062,63.4,22.9,0.61,26.12,85.39
BR_DARBHANGA,Darbhanga,Bihar,hi,3937385,56.9,19.5,0.71,26.15,85.9
BR_NALANDA,Nalanda (Bihar Sharif),Bihar,hi,2874553,64.4,26.2,0.56,25.2,85.52
BR_SITAMARHI,Sitamarhi,Bihar,hi,3423574,52.1,15.2,0.83,26.59,85.49
BR_ARARIA,Araria,Bihar,hi,2811569,53.5,14.6,0.85,26.15,87.52
BR_PURNIA,Purnia,Bihar,hi,3264619,51.1,16.8,0.81,25.78,87.47
WB_KOLKATA,Kolkata,West Bengal,bn,4496694,86.3,58.4,0.24,22.57,88.36
WB_HOWRAH,Howrah,West Bengal,bn,4850029,83.3,51.2,0.28,22.59,88.26
WB_PASCHIM_BARDHAMAN,Paschim Bardhaman (Asansol/Durgapur),West Bengal,bn,2882031,78.7,44.5,0.36,23.68,86.98
WB_DARJEELING,Darjeeling (Siliguri),West Bengal,bn,1846823,79.6,43.1,0.37,27.04,88.26
WB_PURULIA,Purulia,West Bengal,bn,2930115,64.5,23.6,0.67,23.33,86.36
WB_MALDA,Malda,West Bengal,bn,3988845,61.7,21.8,0.71,25.01,88.14
WB_MURSHIDABAD,Murshidabad,West Bengal,bn,7103807,66.6,25.4,0.64,24.18,88.27
OD_KHORDHA,Khordha (Bhubaneswar),Odisha,or,2251673,86.9,41.7,0.31,20.18,85.62
OD_CUTTACK,Cuttack,Odisha,or,2624470,85.5,38.9,0.33,20.46,85.88
OD_SUNDARGARH,Sundargarh (Rourkela),Odisha,or,2093437,73.3,31.4,0.49,22.25,84.85
OD_GANJAM,Ganjam (Berhampur),Odisha,or,3529031,71.1,26.5,0.54,19.31,84.79
OD_SAMBALPUR,Sambalpur,Odisha,or,1041099,76.2,34.0,0.45,21.47,83.98
OD_PURI,Puri,Odisha,or,1698730,84.7,33.2,0.38,19.81,85.83
OD_KALAHANDI,Kalahandi,Odisha,or,1576869,59.2,17.5,0.79,19.91,83.16
OD_NABARANGPUR,Nabarangpur,Odisha,or,1220946,46.4,12.1,0.89,19.23,82.55
OD_KORAPUT,Koraput,Odisha,or,1379647,49.2,13.8,0.86,18.81,82.71
PB_LUDHIANA,Ludhiana,Punjab,pa,3498739,82.2,48.6,0.28,30.9,75.86
PB_AMRITSAR,Amritsar,Punjab,pa,2490656,76.3,46.1,0.35,31.63,74.87
PB_JALANDHAR,Jalandhar,Punjab,pa,2193590,82.4,49.4,0.29,31.32,75.58
PB_PATIALA,Patiala,Punjab,pa,1895686,75.3,44.8,0.37,30.34,76.38
PB_BATHINDA,Bathinda,Punjab,pa,1388525,68.3,39.5,0.44,30.21,74.95
PB_SAS_NAGAR,SAS Nagar (Mohali),Punjab,pa,994628,83.8,59.2,0.22,30.7,76.71
PB_MANSA,Mansa,Punjab,pa,769751,61.8,37.4,0.45,29.99,75.39
HR_GURUGRAM,Gurugram,Haryana,hi,1514432,84.7,69.8,0.17,28.46,77.03
HR_FARIDABAD,Faridabad,Haryana,hi,1809733,81.7,58.4,0.23,28.41,77.31
HR_PANIPAT,Panipat,Haryana,hi,1205437,75.9,45.2,0.36,29.39,76.96
HR_AMBALA,Ambala,Haryana,hi,1128350,81.7,49.6,0.29,30.38,76.78
HR_ROHTAK,Rohtak,Haryana,hi,1061204,80.2,47.8,0.31,28.89,76.6
HR_HISAR,Hisar,Haryana,hi,1743431,72.9,41.2,0.42,29.15,75.72
HR_KARNAL,Karnal,Haryana,hi,1505324,74.7,43.5,0.39,29.68,76.99
HR_SONIPAT,Sonipat,Haryana,hi,1450001,79.1,48.0,0.32,28.99,77.02
HR_PANCHKULA,Panchkula,Haryana,hi,561293,81.9,56.4,0.25,30.69,76.86
JH_RANCHI,Ranchi,Jharkhand,hi,2914253,76.1,33.4,0.43,23.34,85.31
JH_EAST_SINGHBHUM,East Singhbhum (Jamshedpur),Jharkhand,hi,2293919,75.5,36.8,0.42,22.8,86.2
JH_DHANBAD,Dhanbad,Jharkhand,hi,2684487,74.5,34.2,0.45,23.79,86.43
JH_BOKARO,Bokaro,Jharkhand,hi,2062330,72.0,31.8,0.49,23.67,86.15
JH_PAKUR,Pakur,Jharkhand,hi,900422,48.8,12.6,0.87,24.63,87.85
JH_SAHIBGANJ,Sahibganj,Jharkhand,hi,1150038,52.0,14.1,0.84,25.24,87.64
CG_RAIPUR,Raipur,Chhattisgarh,hi,4063872,75.6,34.1,0.41,21.25,81.63
CG_DURG,Durg (Bhilai),Chhattisgarh,hi,3343872,79.1,38.6,0.35,21.19,81.28
CG_BILASPUR,Bilaspur,Chhattisgarh,hi,2664000,70.8,30.5,0.49,22.08,82.14
CG_BIJAPUR,Bijapur,Chhattisgarh,hi,255230,40.9,7.8,0.91,18.79,80.77
CG_SUKMA,Sukma,Chhattisgarh,hi,250159,35.4,7.2,0.93,18.39,81.66
AS_KAMRUP_METRO,Kamrup Metropolitan (Guwahati),Assam,as,1253938,88.7,44.5,0.27,26.14,91.74
AS_CACHAR,Cachar (Silchar),Assam,as,1736617,79.3,28.5,0.48,24.83,92.79
AS_DIBRUGARH,Dibrugarh,Assam,as,1326335,76.0,31.2,0.51,27.47,94.91
AS_BARPETA,Barpeta,Assam,as,1693622,63.8,22.4,0.68,26.32,91.0
AS_DHUBRI,Dhubri,Assam,as,1949258,58.3,18.9,0.76,26.02,89.98
AS_NAGAON,Nagaon,Assam,as,2823768,72.4,27.1,0.58,26.35,92.68
JK_SRINAGAR,Srinagar,Jammu and Kashmir,ur,1236829,69.4,35.8,0.37,34.08,74.8
JK_JAMMU,Jammu,Jammu and Kashmir,ur,1529958,83.4,48.2,0.26,32.73,74.86
JK_KUPWARA,Kupwara,Jammu and Kashmir,ur,870354,66.9,19.5,0.71,34.53,74.26
UK_DEHRADUN,Dehradun,Uttarakhand,hi,1696694,84.2,54.6,0.24,30.32,78.03
UK_HARIDWAR,Haridwar,Uttarakhand,hi,1890422,73.4,41.2,0.42,29.94,78.16
UK_NAINITAL,Nainital (Haldwani),Uttarakhand,hi,955128,83.9,46.5,0.3,29.38,79.46
HP_SHIMLA,Shimla,Himachal Pradesh,hi,814010,83.6,52.0,0.27,31.1,77.17
HP_KANGRA,Kangra (Dharamshala),Himachal Pradesh,hi,1510075,85.7,49.5,0.25,32.09,76.26
GA_NORTH_GOA,North Goa (Panaji),Goa,mr,818008,89.6,66.8,0.17,15.49,73.82
GA_SOUTH_GOA,South Goa (Margao),Goa,mr,640537,87.6,64.2,0.19,15.27,73.95
CH_CHANDIGARH,Chandigarh,Chandigarh,hi,1055450,86.0,72.1,0.15,30.73,76.77
PY_PUDUCHERRY,Puducherry,Puducherry,ta,950289,85.8,56.4,0.25,11.94,79.81
AN_SOUTH_ANDAMAN,South Andaman (Port Blair),Andaman and Nicobar Islands,hi,238142,89.1,48.0,0.26,11.62,92.72
TR_WEST_TRIPURA,West Tripura (Agartala),Tripura,bn,918200,91.3,42.5,0.29,23.83,91.28
MN_IMPHAL_WEST,Imphal West,Manipur,mni,517992,86.1,41.2,0.32,24.81,93.93
ML_EAST_KHASI_HILLS,East Khasi Hills (Shillong),Meghalaya,kha,825922,84.1,44.6,0.31,25.57,91.89
MZ_AIZAWL,Aizawl,Mizoram,mizo,400309,97.9,58.2,0.18,23.73,92.71
NL_KOHIMA,Kohima,Nagaland,ao,267988,85.2,45.1,0.3,25.67,94.11
SK_EAST_SIKKIM,East Sikkim (Gangtok),Sikkim,ne,283583,83.9,49.2,0.28,27.33,88.61
AR_PAPUM_PARE,Papum Pare (Itanagar),Arunachal Pradesh,hi,176573,79.9,46.0,0.33,27.1,93.6
LA_LEH,Leh,Ladakh,lad,133487,77.2,38.5,0.4,34.15,77.57
