district_code,category,coverage_pct
TN_PERAMBALUR,WATER_SUPPLY,48.1
TN_PERAMBALUR,SANITATION,48.1
TN_PERAMBALUR,ROADS,54.1
TN_PERAMBALUR,ELECTRICITY,42.1
TN_PERAMBALUR,HEALTH,65.1
TN_PERAMBALUR,EDUCATION,61.1
TN_PERAMBALUR,DIGITAL,45.1
TN_PERAMBALUR,HOUSING,62.1
TN_PERAMBALUR,IRRIGATION,43.1
TN_PERAMBALUR,TRANSPORT,59.1
TN_TIRUVANNAMALAI,WATER_SUPPLY,56.9
TN_TIRUVANNAMALAI,SANITATION,34.9
TN_TIRUVANNAMALAI,ROADS,37.9
TN_TIRUVANNAMALAI,ELECTRICITY,56.9
TN_TIRUVANNAMALAI,HEALTH,36.9
TN_TIRUVANNAMALAI,EDUCATION,52.9
TN_TIRUVANNAMALAI,DIGITAL,38.9
TN_TIRUVANNAMALAI,HOUSING,52.9
TN_TIRUVANNAMALAI,IRRIGATION,38.9
TN_TIRUVANNAMALAI,TRANSPORT,54.9
TN_DHARMAPURI,WATER_SUPPLY,36.6
TN_DHARMAPURI,SANITATION,34.6
TN_DHARMAPURI,ROADS,35.6
TN_DHARMAPURI,ELECTRICITY,41.6
TN_DHARMAPURI,HEALTH,40.6
TN_DHARMAPURI,EDUCATION,39.6
TN_DHARMAPURI,DIGITAL,39.6
TN_DHARMAPURI,HOUSING,48.6
TN_DHARMAPURI,IRRIGATION,42.6
TN_DHARMAPURI,TRANSPORT,31.6
TN_KRISHNAGIRI,WATER_SUPPLY,36.0
TN_KRISHNAGIRI,SANITATION,49.0
TN_KRISHNAGIRI,ROADS,38.0
TN_KRISHNAGIRI,ELECTRICITY,56.0
TN_KRISHNAGIRI,HEALTH,52.0
TN_KRISHNAGIRI,EDUCATION,48.0
TN_KRISHNAGIRI,DIGITAL,35.0
TN_KRISHNAGIRI,HOUSING,46.0
TN_KRISHNAGIRI,IRRIGATION,39.0
TN_KRISHNAGIRI,TRANSPORT,38.0
TN_NAMAKKAL,WATER_SUPPLY,61.3
TN_NAMAKKAL,SANITATION,51.3
TN_NAMAKKAL,ROADS,41.3
TN_NAMAKKAL,ELECTRICITY,51.3
TN_NAMAKKAL,HEALTH,59.3
TN_NAMAKKAL,EDUCATION,55.3
TN_NAMAKKAL,DIGITAL,58.3
TN_NAMAKKAL,HOUSING,59.3
TN_NAMAKKAL,IRRIGATION,47.3
TN_NAMAKKAL,TRANSPORT,53.3
TN_KARUR,WATER_SUPPLY,58.2
TN_KARUR,SANITATION,43.2
TN_KARUR,ROADS,48.2
TN_KARUR,ELECTRICITY,60.2
TN_KARUR,HEALTH,53.2
TN_KARUR,EDUCATION,41.2
TN_KARUR,DIGITAL,52.2
TN_KARUR,HOUSING,43.2
TN_KARUR,IRRIGATION,62.2
TN_KARUR,TRANSPORT,53.2
TN_VIRUDHUNAGAR,WATER_SUPPLY,55.7
TN_VIRUDHUNAGAR,SANITATION,68.7
TN_VIRUDHUNAGAR,ROADS,63.7
TN_VIRUDHUNAGAR,ELECTRICITY,66.7
TN_VIRUDHUNAGAR,HEALTH,57.7
TN_VIRUDHUNAGAR,EDUCATION,56.7
TN_VIRUDHUNAGAR,DIGITAL,59.7
TN_VIRUDHUNAGAR,HOUSING,57.7
TN_VIRUDHUNAGAR,IRRIGATION,60.7
TN_VIRUDHUNAGAR,TRANSPORT,45.7
TN_THENI,WATER_SUPPLY,53.3
TN_THENI,SANITATION,42.3
TN_THENI,ROADS,61.3
TN_THENI,ELECTRICITY,50.3
TN_THENI,HEALTH,53.3
TN_THENI,EDUCATION,55.3
TN_THENI,DIGITAL,56.3
TN_THENI,HOUSING,48.3
TN_THENI,IRRIGATION,50.3
TN_THENI,TRANSPORT,41.3
TN_NILGIRIS,WATER_SUPPLY,67.8
TN_NILGIRIS,SANITATION,63.8
TN_NILGIRIS,ROADS,70.8
TN_NILGIRIS,ELECTRICITY,56.8
TN_NILGIRIS,HEALTH,58.8
TN_NILGIRIS,EDUCATION,58.8
TN_NILGIRIS,DIGITAL,74.8
TN_NILGIRIS,HOUSING,53.8
TN_NILGIRIS,IRRIGATION,60.8
TN_NILGIRIS,TRANSPORT,65.8
TN_SIVAGANGA,WATER_SUPPLY,46.1
TN_SIVAGANGA,SANITATION,64.1
TN_SIVAGANGA,ROADS,44.1
TN_SIVAGANGA,ELECTRICITY,51.1
TN_SIVAGANGA,HEALTH,51.1
TN_SIVAGANGA,EDUCATION,57.1
TN_SIVAGANGA,DIGITAL,58.1
TN_SIVAGANGA,HOUSING,62.1
TN_SIVAGANGA,IRRIGATION,48.1
TN_SIVAGANGA,TRANSPORT,54.1
TN_NAGAPATTINAM,WATER_SUPPLY,56.8
TN_NAGAPATTINAM,SANITATION,60.8
TN_NAGAPATTINAM,ROADS,62.8
TN_NAGAPATTINAM,ELECTRICITY,56.8
TN_NAGAPATTINAM,HEALTH,56.8
TN_NAGAPATTINAM,EDUCATION,62.8
TN_NAGAPATTINAM,DIGITAL,58.8
TN_NAGAPATTINAM,HOUSING,63.8
TN_NAGAPATTINAM,IRRIGATION,44.8
TN_NAGAPATTINAM,TRANSPORT,46.8
TN_PUDUKKOTTAI,WATER_SUPPLY,54.7
TN_PUDUKKOTTAI,SANITATION,46.7
TN_PUDUKKOTTAI,ROADS,57.7
TN_PUDUKKOTTAI,ELECTRICITY,52.7
TN_PUDUKKOTTAI,HEALTH,40.7
TN_PUDUKKOTTAI,EDUCATION,46.7
TN_PUDUKKOTTAI,DIGITAL,36.7
TN_PUDUKKOTTAI,HOUSING,54.7
TN_PUDUKKOTTAI,IRRIGATION,38.7
TN_PUDUKKOTTAI,TRANSPORT,55.7
TN_CHENGALPATTU,WATER_SUPPLY,64.2
TN_CHENGALPATTU,SANITATION,76.2
TN_CHENGALPATTU,ROADS,71.2
TN_CHENGALPATTU,ELECTRICITY,74.2
TN_CHENGALPATTU,HEALTH,59.2
TN_CHENGALPATTU,EDUCATION,64.2
TN_CHENGALPATTU,DIGITAL,60.2
TN_CHENGALPATTU,HOUSING,72.2
TN_CHENGALPATTU,IRRIGATION,79.2
TN_CHENGALPATTU,TRANSPORT,74.2
TN_RANIPET,WATER_SUPPLY,59.6
TN_RANIPET,SANITATION,48.6
TN_RANIPET,ROADS,63.6
TN_RANIPET,ELECTRICITY,50.6
TN_RANIPET,HEALTH,69.6
TN_RANIPET,EDUCATION,55.6
TN_RANIPET,DIGITAL,62.6
TN_RANIPET,HOUSING,46.6
TN_RANIPET,IRRIGATION,47.6
TN_RANIPET,TRANSPORT,59.6
TN_TIRUPATHUR,WATER_SUPPLY,53.5
TN_TIRUPATHUR,SANITATION,37.5
TN_TIRUPATHUR,ROADS,51.5
TN_TIRUPATHUR,ELECTRICITY,42.5
TN_TIRUPATHUR,HEALTH,48.5
TN_TIRUPATHUR,EDUCATION,49.5
TN_TIRUPATHUR,DIGITAL,40.5
TN_TIRUPATHUR,HOUSING,40.5
TN_TIRUPATHUR,IRRIGATION,37.5
TN_TIRUPATHUR,TRANSPORT,57.5
TN_TENKASI,WATER_SUPPLY,59.7
TN_TENKASI,SANITATION,59.7
TN_TENKASI,ROADS,55.7
TN_TENKASI,ELECTRICITY,63.7
TN_TENKASI,HEALTH,46.7
TN_TENKASI,EDUCATION,63.7
TN_TENKASI,DIGITAL,61.7
TN_TENKASI,HOUSING,44.7
TN_TENKASI,IRRIGATION,66.7
TN_TENKASI,TRANSPORT,62.7
TN_KALLAKURICHI,WATER_SUPPLY,45.4
TN_KALLAKURICHI,SANITATION,36.4
TN_KALLAKURICHI,ROADS,47.4
TN_KALLAKURICHI,ELECTRICITY,48.4
TN_KALLAKURICHI,HEALTH,39.4
TN_KALLAKURICHI,EDUCATION,37.4
TN_KALLAKURICHI,DIGITAL,29.4
TN_KALLAKURICHI,HOUSING,47.4
TN_KALLAKURICHI,IRRIGATION,48.4
TN_KALLAKURICHI,TRANSPORT,43.4
TN_MAYILADUTHURAI,WATER_SUPPLY,43.9
TN_MAYILADUTHURAI,SANITATION,50.9
TN_MAYILADUTHURAI,ROADS,42.9
TN_MAYILADUTHURAI,ELECTRICITY,42.9
TN_MAYILADUTHURAI,HEALTH,53.9
TN_MAYILADUTHURAI,EDUCATION,45.9
TN_MAYILADUTHURAI,DIGITAL,56.9
TN_MAYILADUTHURAI,HOUSING,55.9
TN_MAYILADUTHURAI,IRRIGATION,56.9
TN_MAYILADUTHURAI,TRANSPORT,65.9
KA_BENGALURU_URBAN,WATER_SUPPLY,70.5
KA_BENGALURU_URBAN,SANITATION,69.5
KA_BENGALURU_URBAN,ROADS,85.5
KA_BENGALURU_URBAN,ELECTRICITY,67.5
KA_BENGALURU_URBAN,HEALTH,77.5
KA_BENGALURU_URBAN,EDUCATION,83.5
KA_BENGALURU_URBAN,DIGITAL,77.5
KA_BENGALURU_URBAN,HOUSING,85.5
KA_BENGALURU_URBAN,IRRIGATION,68.5
KA_BENGALURU_URBAN,TRANSPORT,65.5
KA_BENGALURU_RURAL,WATER_SUPPLY,56.4
KA_BENGALURU_RURAL,SANITATION,70.4
KA_BENGALURU_RURAL,ROADS,50.4
KA_BENGALURU_RURAL,ELECTRICITY,51.4
KA_BENGALURU_RURAL,HEALTH,58.4
KA_BENGALURU_RURAL,EDUCATION,59.4
KA_BENGALURU_RURAL,DIGITAL,71.4
KA_BENGALURU_RURAL,HOUSING,68.4
KA_BENGALURU_RURAL,IRRIGATION,49.4
KA_BENGALURU_RURAL,TRANSPORT,69.4
KA_MYSURU,WATER_SUPPLY,48.1
KA_MYSURU,SANITATION,43.1
KA_MYSURU,ROADS,55.1
KA_MYSURU,ELECTRICITY,57.1
KA_MYSURU,HEALTH,46.1
KA_MYSURU,EDUCATION,56.1
KA_MYSURU,DIGITAL,48.1
KA_MYSURU,HOUSING,65.1
KA_MYSURU,IRRIGATION,52.1
KA_MYSURU,TRANSPORT,60.1
KA_DAKSHINA_KANNADA,WATER_SUPPLY,63.2
KA_DAKSHINA_KANNADA,SANITATION,61.2
KA_DAKSHINA_KANNADA,ROADS,68.2
KA_DAKSHINA_KANNADA,ELECTRICITY,79.2
KA_DAKSHINA_KANNADA,HEALTH,63.2
KA_DAKSHINA_KANNADA,EDUCATION,76.2
KA_DAKSHINA_KANNADA,DIGITAL,67.2
KA_DAKSHINA_KANNADA,HOUSING,70.2
KA_DAKSHINA_KANNADA,IRRIGATION,72.2
KA_DAKSHINA_KANNADA,TRANSPORT,61.2
KA_BELAGAVI,WATER_SUPPLY,41.4
KA_BELAGAVI,SANITATION,56.4
KA_BELAGAVI,ROADS,60.4
KA_BELAGAVI,ELECTRICITY,40.4
KA_BELAGAVI,HEALTH,57.4
KA_BELAGAVI,EDUCATION,51.4
KA_BELAGAVI,DIGITAL,62.4
KA_BELAGAVI,HOUSING,50.4
KA_BELAGAVI,IRRIGATION,60.4
KA_BELAGAVI,TRANSPORT,48.4
KA_DHARWAD,WATER_SUPPLY,63.3
KA_DHARWAD,SANITATION,60.3
KA_DHARWAD,ROADS,71.3
KA_DHARWAD,ELECTRICITY,68.3
KA_DHARWAD,HEALTH,63.3
KA_DHARWAD,EDUCATION,60.3
KA_DHARWAD,DIGITAL,55.3
KA_DHARWAD,HOUSING,71.3
KA_DHARWAD,IRRIGATION,61.3
KA_DHARWAD,TRANSPORT,65.3
KA_KALABURAGI,WATER_SUPPLY,34.8
KA_KALABURAGI,SANITATION,49.8
KA_KALABURAGI,ROADS,29.8
KA_KALABURAGI,ELECTRICITY,46.8
KA_KALABURAGI,HEALTH,27.8
KA_KALABURAGI,EDUCATION,39.8
KA_KALABURAGI,DIGITAL,38.8
KA_KALABURAGI,HOUSING,26.8
KA_KALABURAGI,IRRIGATION,32.8
KA_KALABURAGI,TRANSPORT,32.8
KA_BALLARI,WATER_SUPPLY,41.2
KA_BALLARI,SANITATION,39.2
KA_BALLARI,ROADS,48.2
KA_BALLARI,ELECTRICITY,46.2
KA_BALLARI,HEALTH,44.2
KA_BALLARI,EDUCATION,33.2
KA_BALLARI,DIGITAL,46.2
KA_BALLARI,HOUSING,33.2
KA_BALLARI,IRRIGATION,48.2
KA_BALLARI,TRANSPORT,31.2
KA_SHIVAMOGGA,WATER_SUPPLY,53.5
KA_SHIVAMOGGA,SANITATION,57.5
KA_SHIVAMOGGA,ROADS,66.5
KA_SHIVAMOGGA,ELECTRICITY,46.5
KA_SHIVAMOGGA,HEALTH,66.5
KA_SHIVAMOGGA,EDUCATION,69.5
KA_SHIVAMOGGA,DIGITAL,68.5
KA_SHIVAMOGGA,HOUSING,62.5
KA_SHIVAMOGGA,IRRIGATION,53.5
KA_SHIVAMOGGA,TRANSPORT,63.5
KA_TUMAKURU,WATER_SUPPLY,42.3
KA_TUMAKURU,SANITATION,42.3
KA_TUMAKURU,ROADS,44.3
KA_TUMAKURU,ELECTRICITY,46.3
KA_TUMAKURU,HEALTH,47.3
KA_TUMAKURU,EDUCATION,41.3
KA_TUMAKURU,DIGITAL,52.3
KA_TUMAKURU,HOUSING,49.3
KA_TUMAKURU,IRRIGATION,49.3
KA_TUMAKURU,TRANSPORT,52.3
KA_UDUPI,WATER_SUPPLY,62.4
KA_UDUPI,SANITATION,74.4
KA_UDUPI,ROADS,76.4
KA_UDUPI,ELECTRICITY,64.4
KA_UDUPI,HEALTH,68.4
KA_UDUPI,EDUCATION,70.4
KA_UDUPI,DIGITAL,68.4
KA_UDUPI,HOUSING,62.4
KA_UDUPI,IRRIGATION,73.4
KA_UDUPI,TRANSPORT,59.4
KA_HASSAN,WATER_SUPPLY,63.2
KA_HASSAN,SANITATION,43.2
KA_HASSAN,ROADS,42.2
KA_HASSAN,ELECTRICITY,52.2
KA_HASSAN,HEALTH,55.2
KA_HASSAN,EDUCATION,56.2
KA_HASSAN,DIGITAL,60.2
KA_HASSAN,HOUSING,44.2
KA_HASSAN,IRRIGATION,55.2
KA_HASSAN,TRANSPORT,60.2
KA_DAVANAGERE,WATER_SUPPLY,65.1
KA_DAVANAGERE,SANITATION,55.1
KA_DAVANAGERE,ROADS,63.1
KA_DAVANAGERE,ELECTRICITY,62.1
KA_DAVANAGERE,HEALTH,51.1
KA_DAVANAGERE,EDUCATION,43.1
KA_DAVANAGERE,DIGITAL,43.1
KA_DAVANAGERE,HOUSING,64.1
KA_DAVANAGERE,IRRIGATION,43.1
KA_DAVANAGERE,TRANSPORT,44.1
KA_MANDYA,WATER_SUPPLY,45.9
KA_MANDYA,SANITATION,48.9
KA_MANDYA,ROADS,44.9
KA_MANDYA,ELECTRICITY,42.9
KA_MANDYA,HEALTH,49.9
KA_MANDYA,EDUCATION,45.9
KA_MANDYA,DIGITAL,37.9
KA_MANDYA,HOUSING,35.9
KA_MANDYA,IRRIGATION,51.9
KA_MANDYA,TRANSPORT,52.9
KA_VIJAYAPURA,WATER_SUPPLY,46.5
KA_VIJAYAPURA,SANITATION,46.5
KA_VIJAYAPURA,ROADS,28.5
KA_VIJAYAPURA,ELECTRICITY,44.5
KA_VIJAYAPURA,HEALTH,40.5
KA_VIJAYAPURA,EDUCATION,38.5
KA_VIJAYAPURA,DIGITAL,46.5
KA_VIJAYAPURA,HOUSING,34.5
KA_VIJAYAPURA,IRRIGATION,29.5
KA_VIJAYAPURA,TRANSPORT,35.5
KA_BAGALKOT,WATER_SUPPLY,38.3
KA_BAGALKOT,SANITATION,41.3
KA_BAGALKOT,ROADS,30.3
KA_BAGALKOT,ELECTRICITY,31.3
KA_BAGALKOT,HEALTH,46.3
KA_BAGALKOT,EDUCATION,48.3
KA_BAGALKOT,DIGITAL,49.3
KA_BAGALKOT,HOUSING,39.3
KA_BAGALKOT,IRRIGATION,48.3
KA_BAGALKOT,TRANSPORT,51.3
KA_BIDAR,WATER_SUPPLY,40.1
KA_BIDAR,SANITATION,56.1
KA_BIDAR,ROADS,52.1
KA_BIDAR,ELECTRICITY,43.1
KA_BIDAR,HEALTH,39.1
KA_BIDAR,EDUCATION,52.1
KA_BIDAR,DIGITAL,49.1
KA_BIDAR,HOUSING,44.1
KA_BIDAR,IRRIGATION,36.1
KA_BIDAR,TRANSPORT,45.1
KA_RAICHUR,WATER_SUPPLY,32.2
KA_RAICHUR,SANITATION,37.2
KA_RAICHUR,ROADS,24.2
KA_RAICHUR,ELECTRICITY,20.2
KA_RAICHUR,HEALTH,20.2
KA_RAICHUR,EDUCATION,19.2
KA_RAICHUR,DIGITAL,36.2
KA_RAICHUR,HOUSING,14.2
KA_RAICHUR,IRRIGATION,13.2
KA_RAICHUR,TRANSPORT,24.2
KA_KOPPAL,WATER_SUPPLY,34.2
KA_KOPPAL,SANITATION,27.2
KA_KOPPAL,ROADS,24.2
KA_KOPPAL,ELECTRICITY,37.2
KA_KOPPAL,HEALTH,32.2
KA_KOPPAL,EDUCATION,28.2
KA_KOPPAL,DIGITAL,25.2
KA_KOPPAL,HOUSING,46.2
KA_KOPPAL,IRRIGATION,31.2
KA_KOPPAL,TRANSPORT,29.2
KA_YADGIR,WATER_SUPPLY,12.0
KA_YADGIR,SANITATION,28.0
KA_YADGIR,ROADS,15.0
KA_YADGIR,ELECTRICITY,24.0
KA_YADGIR,HEALTH,25.0
KA_YADGIR,EDUCATION,19.0
KA_YADGIR,DIGITAL,15.0
KA_YADGIR,HOUSING,26.0
KA_YADGIR,IRRIGATION,14.0
KA_YADGIR,TRANSPORT,10.0
KA_UTTARA_KANNADA,WATER_SUPPLY,75.0
KA_UTTARA_KANNADA,SANITATION,62.0
KA_UTTARA_KANNADA,ROADS,53.0
KA_UTTARA_KANNADA,ELECTRICITY,68.0
KA_UTTARA_KANNADA,HEALTH,53.0
KA_UTTARA_KANNADA,EDUCATION,64.0
KA_UTTARA_KANNADA,DIGITAL,68.0
KA_UTTARA_KANNADA,HOUSING,51.0
KA_UTTARA_KANNADA,IRRIGATION,56.0
KA_UTTARA_KANNADA,TRANSPORT,51.0
KA_CHITRADURGA,WATER_SUPPLY,41.8
KA_CHITRADURGA,SANITATION,35.8
KA_CHITRADURGA,ROADS,55.8
KA_CHITRADURGA,ELECTRICITY,42.8
KA_CHITRADURGA,HEALTH,57.8
KA_CHITRADURGA,EDUCATION,40.8
KA_CHITRADURGA,DIGITAL,41.8
KA_CHITRADURGA,HOUSING,54.8
KA_CHITRADURGA,IRRIGATION,50.8
KA_CHITRADURGA,TRANSPORT,44.8
KA_KOLAR,WATER_SUPPLY,40.4
KA_KOLAR,SANITATION,46.4
KA_KOLAR,ROADS,49.4
KA_KOLAR,ELECTRICITY,59.4
KA_KOLAR,HEALTH,49.4
KA_KOLAR,EDUCATION,60.4
KA_KOLAR,DIGITAL,46.4
KA_KOLAR,HOUSING,46.4
KA_KOLAR,IRRIGATION,57.4
KA_KOLAR,TRANSPORT,54.4
KA_RAMANAGARA,WATER_SUPPLY,43.7
KA_RAMANAGARA,SANITATION,48.7
KA_RAMANAGARA,ROADS,48.7
KA_RAMANAGARA,ELECTRICITY,51.7
KA_RAMANAGARA,HEALTH,44.7
KA_RAMANAGARA,EDUCATION,46.7
KA_RAMANAGARA,DIGITAL,57.7
KA_RAMANAGARA,HOUSING,52.7
KA_RAMANAGARA,IRRIGATION,38.7
KA_RAMANAGARA,TRANSPORT,48.7
KA_CHIKKAMAGALURU,WATER_SUPPLY,55.6
KA_CHIKKAMAGALURU,SANITATION,53.6
KA_CHIKKAMAGALURU,ROADS,56.6
KA_CHIKKAMAGALURU,ELECTRICITY,45.6
KA_CHIKKAMAGALURU,HEALTH,55.6
KA_CHIKKAMAGALURU,EDUCATION,53.6
KA_CHIKKAMAGALURU,DIGITAL,67.6
KA_CHIKKAMAGALURU,HOUSING,60.6
KA_CHIKKAMAGALURU,IRRIGATION,56.6
KA_CHIKKAMAGALURU,TRANSPORT,59.6
KA_KODAGU,WATER_SUPPLY,65.9
KA_KODAGU,SANITATION,66.9
KA_KODAGU,ROADS,70.9
KA_KODAGU,ELECTRICITY,68.9
KA_KODAGU,HEALTH,54.9
KA_KODAGU,EDUCATION,58.9
